fecha,tipo,fondo,cuotapartes,valor_cp,tenencia,resultado
2020-11-10T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,8.142169,1359.64,-40.36
2020-11-10T03:00:00.000Z,,Superfondo Renta $,19.077,4.853704,92.57,1.53
2020-11-10T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.790477,26.94,2.19
2020-11-10T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.670068,26.47,2.08
2020-11-09T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.859686,1359.64,-40.36
2020-11-09T03:00:00.000Z,,Superfondo Renta $,19.077,4.852629,92.57,1.53
2020-11-09T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.782633,26.94,2.19
2020-11-09T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.668945,26.47,2.08
2020-11-06T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.738813,1338.73,-61.27
2020-11-06T03:00:00.000Z,,Superfondo Renta $,19.077,4.842635,92.38,1.34
2020-11-06T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.767654,26.89,2.14
2020-11-06T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.664454,26.4,2.01
2020-11-05T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.373039,1275.45,-124.55
2020-11-05T03:00:00.000Z,,Superfondo Renta $,19.077,4.813965,91.83,0.79
2020-11-05T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.762165,26.87,2.12
2020-11-05T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.663333,26.38,1.99
2020-11-04T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.421969,1283.92,-116.08
2020-11-04T03:00:00.000Z,,Superfondo Renta $,19.077,4.779776,91.18,0.14
2020-11-04T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.75042,26.84,2.09
2020-11-04T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.662211,26.36,1.97
2020-11-03T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.263911,1256.58,-143.42
2020-11-03T03:00:00.000Z,,Superfondo Renta $,19.077,4.743873,90.49,-0.55
2020-11-03T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.715226,26.73,1.98
2020-11-03T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.661091,26.35,1.96
2020-11-02T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.930141,1198.84,-201.16
2020-11-02T03:00:00.000Z,,Superfondo Renta $,19.077,4.756273,90.73,-0.31
2020-11-02T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.713732,26.73,1.98
2020-11-02T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.657747,26.29,1.9
2020-10-30T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.111063,1230.14,-169.86
2020-10-30T03:00:00.000Z,,Superfondo Renta $,19.077,4.722058,90.08,-0.96
2020-10-30T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.702784,26.69,1.94
2020-10-30T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.656631,26.28,1.89
2020-10-29T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.90149,1193.88,-206.12
2020-10-29T03:00:00.000Z,,Superfondo Renta $,19.077,4.722449,90.09,-0.95
2020-10-29T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.689944,26.65,1.9
2020-10-29T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.655544,26.26,1.87
2020-10-28T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.383253,1277.22,-122.78
2020-10-28T03:00:00.000Z,,Superfondo Renta $,19.077,4.734671,90.32,-0.72
2020-10-28T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.683909,26.63,1.88
2020-10-28T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.654463,26.24,1.85
2020-10-27T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.74388,1339.61,-60.39
2020-10-27T03:00:00.000Z,,Superfondo Renta $,19.077,4.767368,90.94,-0.1
2020-10-27T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.67763,26.61,1.86
2020-10-27T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.653383,26.22,1.83
2020-10-23T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,8.283748,1433,33
2020-10-23T03:00:00.000Z,,Superfondo Renta $,19.077,4.803765,91.64,0.6
2020-10-23T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.671555,26.6,1.85
2020-10-23T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.649072,26.16,1.77
2020-10-22T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,8.03285,1389.6,-10.4
2020-10-22T03:00:00.000Z,,Superfondo Renta $,19.077,4.808521,91.73,0.69
2020-10-22T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.647064,26.52,1.77
2020-10-22T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.647995,26.14,1.75
2020-10-21T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.930543,1371.9,-28.1
2020-10-21T03:00:00.000Z,,Superfondo Renta $,19.077,4.793004,91.43,0.39
2020-10-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.642043,26.51,1.76
2020-10-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.646919,26.12,1.73
2020-10-20T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.821987,1353.12,-46.88
2020-10-20T03:00:00.000Z,,Superfondo Renta $,19.077,4.782426,91.23,0.19
2020-10-20T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.626235,26.46,1.71
2020-10-20T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.645855,26.1,1.71
2020-10-19T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.798116,1348.99,-51.01
2020-10-19T03:00:00.000Z,,Superfondo Renta $,19.077,4.812051,91.79,0.75
2020-10-19T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.613505,26.42,1.67
2020-10-19T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.642726,26.05,1.66
2020-10-16T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.690739,1330.41,-69.59
2020-10-16T03:00:00.000Z,,Superfondo Renta $,19.077,4.803921,91.64,0.6
2020-10-16T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.603638,26.39,1.64
2020-10-16T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.641738,26.04,1.65
2020-10-15T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.512721,1299.62,-100.38
2020-10-15T03:00:00.000Z,,Superfondo Renta $,19.077,4.819509,91.94,0.9
